,Correlation,Subject,R
0,0.6773466374687236,0.0,[-54.86  15.87  40.38]
1,0.6773466374687236,0.0,[-38.79  51.43  47.05]
2,0.6773466374687236,0.0,[-52.44  24.4   43.61]
3,0.6773466374687236,0.0,[-38.79  51.43  47.05]
4,0.6773466374687236,0.0,[-43.98  42.16  46.89]
5,0.6773466374687236,0.0,[-48.86  33.3   45.33]
6,0.6773466374687236,0.0,[-48.86  33.3   45.33]
7,0.6773466374687236,0.0,[-57.67   6.22  38.01]
8,0.6773466374687236,0.0,[-52.44  24.4   43.61]
9,0.6773466374687236,0.0,[-54.86  15.87  40.38]
10,0.6773466374687236,0.0,[-27.17 -34.8   31.67]
11,0.6773466374687236,0.0,[-28.47 -29.16  29.45]
12,0.6773466374687236,0.0,[-68.4   -7.51  27.9 ]
13,0.6773466374687236,0.0,[-61.62  -2.9   32.75]
14,0.6773466374687236,0.0,[-27.24 -41.09  33.47]
15,0.6773466374687236,0.0,[-30.63  18.14  19.69]
16,0.6773466374687236,0.0,[-31.37  24.81  18.26]
17,0.6773466374687236,0.0,[ 23.22 -59.21   7.93]
18,0.6773466374687236,0.0,[-29.4   11.8   21.34]
19,0.6773466374687236,0.0,[-28.21 -17.02  27.2 ]
20,0.6773466374687236,0.0,[ 23.09 -68.82  10.49]
21,0.6773466374687236,0.0,[-11.17  31.11  47.29]
22,0.6773466374687236,0.0,[-29.01 -12.18  26.02]
23,0.6773466374687236,0.0,[-9.69 39.5  28.25]
24,0.6773466374687236,0.0,[-29.47   5.52  23.14]
25,0.6773466374687236,0.0,[-10.27  33.48  42.27]
26,0.6773466374687236,0.0,[-28.87  -6.67  25.3 ]
27,0.6773466374687236,0.0,[-28.8   -0.38  23.49]
28,0.6773466374687236,0.0,[-21.39  18.21  -1.69]
29,0.6773466374687236,0.0,[24.54 13.72 74.86]
30,0.6773466374687236,0.0,[-11.52  24.24  64.04]
31,0.6773466374687236,0.0,[-9.22 43.92 18.07]
32,0.6773466374687236,0.0,[23.03 19.62 57.47]
33,0.6773466374687236,0.0,[59.13  6.17 -4.57]
34,0.6773466374687236,0.0,[ 61.97 -19.51  12.63]
35,0.6773466374687236,0.0,[-13.09  15.16  82.54]
36,0.6773466374687236,0.0,[ 23.46 -41.49   3.32]
