,Correlation,Subject,R
0,0.6751114203325027,BW001,[ 48.48 -20.64  -0.  ]
1,0.6751114203325027,BW001,[ 21.21  47.16 -16.34]
2,0.6751114203325027,BW001,[ 58.59 -49.63   1.73]
3,0.6751114203325027,BW001,[ 40.4   10.97 -14.86]
4,0.6751114203325027,BW001,[36.36  4.43 -6.9 ]
5,0.6751114203325027,BW001,[ 18.18 -18.84 -41.61]
6,0.6751114203325027,BW001,[ 44.44 -11.79   9.17]
7,0.6751114203325027,BW001,[ 42.42 -12.72   6.95]
8,0.6751114203325027,BW001,[45.45 -8.91 13.68]
9,0.6751114203325027,BW001,[44.44  3.76 29.58]
10,0.6751114203325027,BW001,[39.39 20.54 23.94]
11,0.6751114203325027,BW001,[ 46.46 -37.17 -23.6 ]
12,0.6751114203325027,BW001,[ 54.55 -34.13   1.46]
13,0.6751114203325027,BW001,[ 47.47 -12.82 -13.85]
14,0.6751114203325027,BW001,[44.44  6.33 18.83]
15,0.6751114203325027,BW001,[ 43.43 -24.14   8.52]
16,0.6751114203325027,BW001,[ 29.29  41.13 -20.27]
17,0.6751114203325027,BW001,[ 54.55 -50.04  10.42]
18,0.6751114203325027,BW001,[ 54.55 -41.8   10.85]
19,0.6751114203325027,BW001,[ 45.45 -63.47  10.8 ]
20,0.6751114203325027,BW001,[ 36.36 -41.49 -19.09]
21,0.6751114203325027,BW001,[ 51.52 -22.65 -25.15]
22,0.6751114203325027,BW001,[ 36.36 -13.38 -24.61]
23,0.6751114203325027,BW001,[ 49.49 -21.05 -14.33]
24,0.6751114203325027,BW001,[ 49.49 -26.62  17.1 ]
25,0.6751114203325027,BW001,[ 21.21 -49.27  -6.42]
26,0.6751114203325027,BW001,[ 34.34  32.9  -20.74]
27,0.6751114203325027,BW001,[ 47.47 -28.37  10.47]
28,0.6751114203325027,BW001,[ 13.13  49.99 -10.22]
29,0.6751114203325027,BW001,[ 51.52 -26.87   0.76]
30,0.6751114203325027,BW001,[ 43.43  -9.99 -31.57]
31,0.6751114203325027,BW001,[ 37.37  25.64 -19.97]
32,0.6751114203325027,BW001,[ 40.4   18.43 -20.39]
